Wall time,Step,Value
1523753755.567242,124596,95468.5859375
1523753971.429203,124796,117873.765625
1523754079.276032,124896,123651.734375
1523754294.897621,125096,121813.90625
1523754402.521516,125196,130258.953125
1523754619.647808,125396,114480.1796875
1523754943.232949,125696,144350.90625
1523755051.586778,125796,123495.6171875
1523755159.474653,125896,124244.9140625
1523755225.541865,125928,127384.015625
1523755441.46266,126128,130322.21875
1523755765.011018,126428,119973.484375
1523755872.718862,126528,130857.09375
1523756087.939031,126728,109266.484375
1523756303.68091,126928,98023.515625
1523756411.493706,127028,136234.28125
1523756627.563982,127228,134282.8125
1523756735.685932,127328,119560.140625
1523756843.659772,127428,123181.4921875
1523756951.26001,127528,132077.296875
1523757059.098713,127628,131960.34375
1523757166.711378,127728,107197.921875
1523757382.335483,127928,158088.6875
1523757490.172956,128028,120011.71875
1523757879.963557,128360,107834.375
1523757987.752194,128460,116723.203125
1523758095.452567,128560,118395.5
1523758311.089742,128760,120373.53125
1523758526.644918,128960,134350.203125
1523758634.267405,129060,112064.6796875
1523758742.046513,129160,120691.8125
1523758849.854871,129260,105679.234375
1523758957.777458,129360,126301.1015625
1523759065.376614,129460,121411.296875
1523759281.093328,129660,118176.1875
1523759388.909201,129760,121128.390625
1523759496.605079,129860,114370.84375
1523759604.466761,129960,140674.21875
1523759819.868761,130160,130655.078125
1523760143.128429,130460,100745.796875
